time,id,x,y,0,1,2,3,4,5,6,7,8
2,85,386015.0,6671573.0,-49.28,-28.52,19.59,-13.21,-20.8,-6.8,-31.37,-29.07,-42.66
2,86,385488.0,6671484.0,-49.31,-8.44,-22.99,-10.88,-6.75,2.76,-18.33,7.28,-1.72
2,87,386116.0,6671686.0,-52.34,4.43,-17.24,-32.48,-23.61,9.47,-30.03,-35.59,-41.79
2,88,385730.0,6671159.0,-61.53,-29.64,-5.95,-6.27,-21.71,-32.83,-14.19,16.4,-25.52
2,9,385632.0,6671447.0,-49.95,-21.99,-14.94,-12.05,-0.86,-11.46,6.66,3.43,-7.14
2,90,386139.0,6671527.0,-48.27,4.96,-13.05,-23.87,-13.74,8.59,-24.09,-21.77,-35.27
2,91,386172.0,6671625.0,-48.76,4.28,-16.57,-15.07,-17.76,9.13,-26.8,-24.35,-37.79
2,93,385750.0,6671904.0,-9.36,-15.62,-4.11,-22.83,5.41,6.73,-24.26,-26.99,-19.72
2,94,385401.0,6671674.0,-40.37,-35.1,-21.39,-9.18,-25.66,-22.87,-18.37,21.13,-14.66
2,95,386115.0,6671791.0,-46.45,-3.47,-29.77,-45.64,-26.87,17.43,-47.36,-40.24,-43.18
2,96,385519.0,6671882.0,-24.38,-34.77,-10.35,-17.1,-7.96,-28.14,-21.75,1.87,10.09
2,97,386128.0,6671333.0,-53.27,4.15,3.61,-2.49,-12.2,1.43,-15.39,-14.49,-27.08
2,98,385286.0,6671851.0,-23.89,-38.07,-22.07,-9.03,-32.64,-32.49,-19.21,18.43,-7.26
3,0,386118.0,6671516.0,-51.42,6.91,-18.63,-31.66,-20.12,6.93,-29.7,-17.38,-40.99
3,1,385420.0,6671607.0,-33.41,-21.48,-13.19,-10.13,-6.41,-7.9,-21.38,4.63,7.41
3,10,385646.0,6671879.0,-25.57,-14.74,3.5,-19.95,9.01,-9.25,-22.65,-13.71,-7.5
3,11,386285.0,6671871.0,-42.41,-16.57,-23.99,-39.1,-22.14,28.76,-41.91,-36.54,-38.23
3,12,385364.0,6671694.0,-30.59,-16.59,-25.94,-11.68,-18.89,-11.92,-22.92,1.41,11.67
3,13,385728.0,6671172.0,-68.63,-33.81,-7.2,-1.43,-29.57,-39.59,-22.77,14.09,-33.9
3,14,385474.0,6671249.0,-64.32,-45.89,-20.35,-6.45,-21.08,-37.89,-13.57,-3.59,15.02
3,15,385650.0,6671583.0,-33.05,-5.75,0.42,-15.25,-1.38,6.01,-10.95,-1.24,-6.41
3,16,385571.0,6671407.0,-54.05,-38.5,-26.98,-9.78,-17.83,-27.22,-9.47,19.93,-20.81
3,17,385357.0,6671394.0,-50.3,-20.59,-33.09,-22.12,-19.64,-13.25,-7.84,-20.47,19.92
3,18,385626.0,6672082.0,17.04,-20.8,-13.63,-33.77,-5.64,-8.71,-32.48,-22.81,-29.92
3,19,386188.0,6671626.0,-49.03,3.81,-12.91,-12.95,-14.92,9.01,-23.13,-10.6,-34.18
3,2,386218.0,6671887.0,-44.91,-18.19,-20.33,-31.88,-19.16,27.99,-39.05,-33.37,-35.27
3,20,386103.0,6671320.0,-46.15,-6.78,10.11,-0.25,-5.51,-5.0,-14.38,-13.63,-26.02
3,21,386016.0,6671465.0,-49.75,-22.53,16.54,-16.69,-5.02,-13.23,-21.51,-9.01,-33.1
3,22,385734.0,6671927.0,-7.01,-14.39,-3.69,-24.27,6.2,4.76,-23.54,-12.77,-7.59
3,23,386213.0,6671906.0,-41.51,-10.5,-19.42,-24.7,-18.31,22.78,-38.17,-32.58,-34.41
3,24,385776.0,6671673.0,-41.71,-13.77,-0.52,-23.12,9.83,0.32,-25.23,-17.28,-21.51
3,25,385258.0,6671620.0,-44.99,-31.29,-41.14,-31.84,-33.55,-27.18,-32.51,-20.23,32.27
3,26,385998.0,6671471.0,-42.12,-15.85,4.56,-19.51,5.71,-15.78,-12.7,0.58,-24.37
3,27,386112.0,6671780.0,-55.15,-2.53,-39.31,-56.86,-36.44,16.52,-52.38,-37.43,-52.76
3,28,385857.0,6671592.0,-47.86,-32.72,-7.51,-28.86,20.69,-21.34,-17.79,-21.42,-29.16
3,29,385511.0,6671495.0,-48.93,-19.33,-23.81,-8.47,-17.44,-10.77,-20.66,18.9,-13.96
3,3,385975.0,6671333.0,-49.39,-34.31,19.91,-16.43,-6.52,-27.07,-25.24,-26.77,-37.27
3,30,386026.0,6671161.0,-46.1,-33.14,19.78,-19.84,-6.28,-19.27,-26.96,-30.52,-39.41
